의료기관명,의료기관분류,세부진단,의료기관전화번호,연락처,위도,경도,진료과목내용명,운영시간,공휴일시간,의료기관주소,월요일진료시작시간,월요일진료종료시간,월요일휴게시작시간,월요일휴게종료시간,화요일진료시작시간,화요일진료종료시간,화요일휴게시작시간,화요일휴게종료시간,수요일진료시작시간,수요일진료종료시간,수요일휴게시작시간,수요일휴게종료시간,목요일진료시작시간,목요일진료종료시간,목요일휴게시작시간,목요일휴게종료시간,금요일진료시작시간,금요일진료종료시간,금요일휴게시작시간,금요일휴게종료시간,토요일진료시작시간,토요일진료종료시간,토요일휴게시작시간,토요일휴게종료시간,일요일진료시작시간,일요일진료종료시간,일요일휴게시작시간,일요일휴게종료시간
백앤미의원,의원,가정의학과,044-868-9617,044-868-9617 대표번호,36.5082074,127.2624282,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과",진료시간  월화목금 10:00 ~ 20:00  토 09:00 ~ 14:00  월화목금 휴게시간 13:00 ~ 14:00,휴무일 수일요일 공휴일,세종특별자치시 절재로 194 세종중앙타운 510호 (우)30103,10:00,20:00,13:00,14:00,10:00,20:00,13:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,10:00,20:00,13:00,14:00,10:00,20:00,13:00,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
백헌한의원,한의원,한의원,044-415-1802,044-415-1802 대표번호,36.4980135,127.3117466,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",진료시간  월 ~ 금 09:30 ~ 20:00  토 09:30 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 1828 시드니블루 407408호 (우)30146,9:30,20:00,13:00,14:00,9:30,20:00,13:00,14:00,9:30,20:00,13:00,14:00,9:30,20:00,13:00,14:00,9:30,20:00,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
범지기한의원,한의원,한의원,044-998-0700,044-998-0700 대표번호,36.5113991,127.2484173,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월수 09:30 ~ 20:30  화금 09:30 ~ 19:00  목토 09:30 ~ 14:00  월 ~ 수금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 보듬3로 101 1동 2층 201202호 (우)30100,9:30,20:30,13:00,14:00,9:30,19:00,13:00,14:00,9:30,20:30,13:00,14:00,9:30,14:00,정보 없음,정보 없음,9:30,19:00,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
본한의원,한의원,한의원,044-862-7755,044-862-7755 대표번호,36.479189,127.295486,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월화목금 10:00 ~ 20:00  수토 10:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 2135 (우)30150,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,14:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
봄봄이비인후과의원,의원,이비인후과,044-715-5915,044-715-5915 대표번호,36.5055595,127.2337274,"내과, 소아청소년과, 이비인후과",진료시간  월화목금 09:00 ~ 18:30  수토 09:00 ~ 13:00  월화목금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 마음로 78 세종 스마트큐브2 2층 203 204호 (우)30063,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,13:00,정보 없음,정보 없음,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
부부내과의원,의원,내과,044-866-0345,044-866-0345 대표번호,36.4683516,127.2811865,"내과, 소아청소년과, 이비인후과, 피부과",진료시간  월 ~ 금 08:30 ~ 18:30  토 08:30 ~ 12:30  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 정보 없음,세종특별자치시 금남면 용포로 113 (우)30083,8:30,18:30,12:30,14:00,8:30,18:30,12:30,14:00,8:30,18:30,12:30,14:00,8:30,18:30,12:30,14:00,8:30,18:30,12:30,14:00,8:30,12:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
브이유의원,의원,성형외과,044-8666222,044-866-6222 대표번호,36.4898147,127.258937,"성형외과, 피부과",진료시간  화 ~ 목 10:00 ~ 19:00  금 10:00 ~ 20:30  토 10:00 ~ 15:00  화 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 월일요일 공휴일,세종특별자치시 나성북로 21 센트럴타워 506호 (우)30128,정보 없음,정보 없음,정보 없음,정보 없음,10:00,19:00,12:30,14:00,10:00,19:00,12:30,14:00,10:00,19:00,12:30,14:00,10:00,20:30,12:30,14:00,10:00,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
블리비의원,의원,성형외과,1833-7390,1833-7390 대표번호,36.4887389,127.2562539,"성형외과, 피부과",진료시간  월 ~ 금 10:00 ~ 20:00  토 10:00 ~ 15:00  월 ~ 금 휴게시간 13:00 ~ 14:30,휴무일 일요일 공휴일,세종특별자치시 한누리대로 275 형성프라자 3층 301~303호 (우)30127,10:00,20:00,13:00,14:30,10:00,20:00,13:00,14:30,10:00,20:00,13:00,14:30,10:00,20:00,13:00,14:30,10:00,20:00,13:00,14:30,10:00,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
비쥬얼피부과의원,의원,피부과,044-715-7585,044-715-7585 대표번호,36.4885028,127.2566582,피부과,진료시간  월 ~ 금 10:00 ~ 19:30  토 10:00 ~ 15:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 273 새롬씨티 3층 302~304호 (우)30127,10:00,19:30,13:00,14:00,10:00,19:30,13:00,14:00,10:00,19:30,13:00,14:00,10:00,19:30,13:00,14:00,10:00,19:30,13:00,14:00,10:00,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
사상참경희한의원,한의원,한의원,044-999-1075,044-999-1075 대표번호,36.4845698,127.2524441,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 09:00 ~ 20:00  주말 09:00 ~ 17:00  매일 휴게시간 12:30 ~ 14:00,공휴일 09:00 ~ 17:00,세종특별자치시 새롬중앙로 34 크리스마스빌딩 408호 (우)30127,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,17:00,12:30,14:00,9:00,17:00,12:30,14:00
산돌한의원,한의원,한의원,044-865-7585,044-865-7585 대표번호,36.5026811,127.2481373,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 09:30 ~ 21:30  토 09:30 ~ 17:00,공휴일 09:30 ~ 17:00,세종특별자치시 도움1로 106 메가시티 5층 502508509514호 (우)30064,9:30,21:30,정보 없음,정보 없음,9:30,21:30,정보 없음,정보 없음,9:30,21:30,정보 없음,정보 없음,9:30,21:30,정보 없음,정보 없음,9:30,21:30,정보 없음,정보 없음,9:30,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
삼성마음그린정신건강의학과의원,의원,정신건강의학과,044-867-1000,044-867-1000 대표번호,36.4866841,127.2570939,정신건강의학과,진료시간  월 ~ 수금 09:30 ~ 18:30  목 14:00 ~ 21:00  토 09:00 ~ 14:00,휴무일 공휴일,세종특별자치시 한누리대로 253 에스빌딩 301505호 (우)30127,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,14:00,21:00,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
삼성미의원,의원,피부과,044-868-7570,044-868-7570 대표번호,36.5025906,127.2475653,피부과,진료시간  월 ~ 금 09:30 ~ 19:00  토 09:30 ~ 14:00  일 14:00 ~ 17:00  월 ~ 금 휴게시간 13:00 ~ 14:00,이용시 주의 사항 일요일 예약제,세종특별자치시 도움1로 108 세종몰리브 4층 405호 (우)30064,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,14:00,정보 없음,정보 없음,14:00,17:00,정보 없음,정보 없음
삼성밸런스이비인후과의원,의원,이비인후과,044-715-7517,044-715-7517 대표번호,36.5116352,127.2432425,이비인후과,진료시간  월화목금 09:00 ~ 18:30  수토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 아름서1길 13-12 세종제디이빌딩 201202호 (우)30100,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
삼성온가족치과의원,치과의원,치과,044-865-2843,044-865-2843 대표번호,36.5026811,127.2481373,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  화수금 09:30 ~ 18:30  월 09:30 ~ 20:30  토 09:30 ~ 14:00,휴무일 정보 없음,세종특별자치시 도움1로 106 메가시티 5층 (우)30064,9:30,20:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
삼성필성형외과의원,의원,성형외과,044-867-1233,044-867-1233 대표번호,36.487784,127.2566555,"성형외과, 피부과",진료시간  월목 10:00 ~ 19:00  화금 10:00 ~ 21:00  수 14:00 ~ 19:00  토 10:00 ~ 14:00  월화목금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 265 명동프라자 3층 303~305호 (우)30127,10:00,19:00,13:00,14:00,10:00,21:00,13:00,14:00,14:00,19:00,정보 없음,정보 없음,10:00,19:00,13:00,14:00,10:00,21:00,13:00,14:00,10:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
상쾌한이비인후과의원,의원,이비인후과,044-862-7584,044-862-7584 대표번호,36.4860757,127.2503182,"소아청소년과, 이비인후과",진료시간  월 ~ 금 09:00 ~ 19:00  토 09:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 새롬중앙로 59 (우)30126,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
새롬숲치과의원,치과의원,치과,044-999-2577,044-999-2577 대표번호,36.484604,127.2525201,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",진료시간  월화목금 10:00 ~ 18:00  토 10:00 ~ 14:00 (10:00~12:00 예약진료 / 12:00~14:00 당일접수진료)  월화목금 휴게시간 13:00 ~ 14:00,휴무일 수일요일 공휴일,세종특별자치시 새롬중앙로 34 크리스마스상가 3층 311호 (우)30127,10:00,18:00,13:00,14:00,10:00,18:00,13:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,10:00,18:00,13:00,14:00,10:00,18:00,13:00,14:00,10:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
새롬정형외과의원,의원,정형외과,044-998-3369,044-998-3369 대표번호,36.4845698,127.2524441,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 응급의학과",진료시간  월화목금 09:00 ~ 19:00  수 14:00 ~ 19:00  토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 새롬중앙로 34 크리스마스빌딩 416호 (우)30127,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,14:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
새롬한의원,한의원,한의원,044-863-8375,044-863-8375 대표번호,36.4854466,127.2504332,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  화수금 09:30 ~ 19:00  월목 09:30 ~ 21:00  토 08:30 ~ 14:00  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 일요일 설전날 설당일 설다음날,세종특별자치시 새롬중앙로 51 에스월드빌딩 303호 (우)30126,9:30,21:00,12:30,14:00,9:30,19:00,12:30,14:00,9:30,19:00,12:30,14:00,9:30,21:00,12:30,14:00,9:30,19:00,12:30,14:00,8:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
새서울치과의원,치과의원,치과,044-866-2875,044-866-2875 대표번호,36.4683516,127.2811865,"치과보철과, 치과교정과, 치과보존과, 구강내과, 구강악안면외과, 소아치과, 치주과, 영상치의학과, 구강병리과, 예방치과",진료시간  월 ~ 금 09:00 ~ 17:30  토 09:00 ~ 12:00,휴무일 정보 없음,세종특별자치시 금남면 용포로 113 (우)30083,9:00,17:30,정보 없음,정보 없음,9:00,17:30,정보 없음,정보 없음,9:00,17:30,정보 없음,정보 없음,9:00,17:30,정보 없음,정보 없음,9:00,17:30,정보 없음,정보 없음,9:00,12:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
새온치과의원,치과의원,치과,044-867-2842,044-867-2842 대표번호,36.4867617,127.2501362,"구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과",진료시간  화수금 09:00 ~ 18:30  월목 09:00 ~ 20:30  월 휴게시간 12:30 ~ 14:00,휴무일 토일요일 공휴일,세종특별자치시 새롬중앙로 67 오렌지빌딩 304호 (우)30126,9:00,20:30,12:30,14:00,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,20:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
생생당한의원,한의원,한의원,044-868-3284,044-868-3284 대표번호,36.4787591,127.2879712,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월수금 10:00 ~ 19:00  화목 10:00 ~ 21:00  토 09:30 ~ 14:00  월 ~ 금 휴게시간 13:30 ~ 14:30,공휴일 09:30 ~ 14:00,세종특별자치시 한누리대로 2144 스마트허브2 301호 (우)30151,10:00,19:00,13:30,14:30,10:00,21:00,13:30,14:30,10:00,19:00,13:30,14:30,10:00,21:00,13:30,14:30,10:00,19:00,13:30,14:30,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서산부인과의원,의원,산부인과,044-905-3575,044-905-3575 대표번호,36.5122573,127.2430165,"내과, 신경과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 가정의학과, 응급의학과",진료시간  월 ~ 금 09:00 ~ 20:00  토 09:00 ~ 17:00  일 09:00 ~ 13:00  월 ~ 토 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 보듬3로 150 아름행복타워 34층 (우)30100,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,17:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음
서울굿닥터의원,의원,정형외과,044-867-9933,044-867-9933 대표번호,36.4856879,127.2503691,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 재활의학과",진료시간  월수금 10:00 ~ 19:30  화목 14:00 ~ 19:30  토 09:00 ~ 13:00  일 10:00 ~ 17:00,이용시 주의 사항 도수치료: 평일 9시~22시/ 토 9시~18시/ 일 10시~19시,세종특별자치시 새롬중앙로 55 행운빌딩 1동 3층 301~305호 (우)30126,10:00,19:30,정보 없음,정보 없음,14:00,19:30,정보 없음,정보 없음,10:00,19:30,정보 없음,정보 없음,14:00,19:30,정보 없음,정보 없음,10:00,19:30,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,10:00,17:00,정보 없음,정보 없음
서울굿모닝치과의원,치과의원,치과,044-865-2833,044-865-2833 대표번호,36.504743,127.2494236,"구강악안면외과, 소아치과, 구강내과, 예방치과, 치과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 영상치의학과, 구강병리과",진료시간  월 ~ 수금 09:30 ~ 18:30  목 09:30 ~ 20:30  토 09:30 ~ 14:00  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 도움3로 105-5 중촌 중앙프라자 505506호 (우)30064,9:30,18:30,12:30,14:00,9:30,18:30,12:30,14:00,9:30,18:30,12:30,14:00,9:30,20:30,12:30,14:00,9:30,18:30,12:30,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울바른이치과의원,치과의원,치과,044-863-2282,044-863-2282 대표번호,36.4940293,127.2484494,치과,진료시간  월 ~ 금 09:30 ~ 18:30  토 09:30 ~ 14:00,휴무일 정보 없음,세종특별자치시 다정중앙로 39 다정센터프라자2 504호 (우)30124,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울봄빛안과의원,의원,안과,044-865-1400,044-865-1400 대표번호,36.487784,127.2566555,안과,진료시간  월화목금 09:00 ~ 18:30  수 10:00 ~ 18:30  토 09:00 ~ 14:30  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 265 명동프라자 6층 603 607호 (우)30127,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,10:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,14:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울봄빛치과의원,치과의원,치과,044-867-1575,044-867-1575 대표번호,36.5082074,127.2624282,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",진료시간  수 ~ 금 09:30 ~ 18:30  월 10:30 ~ 18:30  화 09:30 ~ 21:00  토 09:30 ~ 13:00,휴무일 정보 없음,세종특별자치시 절재로 194 세종중앙타운 401402405호 (우)30103,10:30,18:30,정보 없음,정보 없음,9:30,21:00,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울삼성안과의원,의원,안과,044-862-0014,044-862-0014 대표번호,36.5026811,127.2481373,안과,진료시간  월 ~ 금 09:00 ~ 19:00  토 09:00 ~ 13:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 도움1로 106 메가시티 403호 (우)30064,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울삼성이비인후과의원,의원,이비인후과,044-864-1864,044-864-1864 대표번호,36.4887389,127.2562539,"내과, 소아청소년과, 이비인후과",진료시간  화 ~ 금 09:00 ~ 19:30  월 09:00 ~ 20:00  토 09:00 ~ 14:00  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 275 형성프라자 4층 401402호 (우)30127,9:00,20:00,12:30,14:00,9:00,19:30,12:30,14:00,9:00,19:30,12:30,14:00,9:00,19:30,12:30,14:00,9:00,19:30,12:30,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울소담치과의원,치과의원,치과,044-865-2811,044-865-2811 대표번호,36.4847449,127.2993181,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과",진료시간  월목금 09:30 ~ 18:30  화 09:30 ~ 20:00  토 09:30 ~ 14:00,휴무일 수요일,세종특별자치시 한누리대로 2018 사이언스타운 304305호 (우)30151,9:30,18:30,정보 없음,정보 없음,9:30,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울아산신경외과의원,의원,신경외과,044-868-5288,044-868-5288 대표번호,36.4896498,127.2578632,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",진료시간  월 ~ 금 09:30 ~ 18:00  토 09:30 ~ 13:30  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 둘째넷째 토요일 일요일 공휴일,세종특별자치시 나성북로 9 메가타워1 7층 701702호 (우)30128,9:30,18:00,13:00,14:00,9:30,18:00,13:00,14:00,9:30,18:00,13:00,14:00,9:30,18:00,13:00,14:00,9:30,18:00,13:00,14:00,9:30,13:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울아산재활의학과의원,의원,정형외과,044-715-7591,044-715-7591 대표번호,36.5082074,127.2624282,"내과, 신경과, 정신건강의학과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 재활의학과, 가정의학과, 예방의학과",진료시간  월화목금 09:30 ~ 19:00  수토 09:00 ~ 13:00  화목 휴게시간 13:00 ~ 14:30,휴무일 정보 없음,세종특별자치시 절재로 194 중앙타운 4층 406호 (우)30103,9:30,19:00,정보 없음,정보 없음,9:30,19:00,13:00,14:30,9:00,13:00,정보 없음,정보 없음,9:30,19:00,13:00,14:30,9:30,19:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울좋은치과의원,치과의원,치과,044-862-7528,044-862-7528 대표번호,36.4820636,127.2605158,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",진료시간  월 ~ 수금 09:30 ~ 18:30  목 14:00 ~ 20:30  토 09:30 ~ 13:00  월 ~ 수금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 한누리대로 193 참미르빌딩 3층 (우)30130,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,14:00,20:30,정보 없음,정보 없음,9:30,18:30,13:00,14:00,9:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
서울현병원,병원,정형외과,1600-5626,1600-5626 대표번호,36.4897308,127.2584009,"내과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과",진료시간  월 ~ 금 09:00 ~ 18:00  토 09:00 ~ 13:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 나성북로 15 세종시MVG상가 4~7층 (우)30128,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
성원치과의원,치과의원,치과,044-868-6091,044-868-6091 대표번호,36.5082074,127.2624282,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  월화목금 10:00 ~ 19:00  수 14:00 ~ 19:00  토 10:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 절재로 194 세종중앙타운 408409호 (우)30103,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,14:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
성진한의원,한의원,한의원,044-903-0525,044-903-0525 대표번호,36.4956245,127.2485187,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 10:00 ~ 20:00  토 10:00 ~ 14:00  월 ~ 금 휴게시간 14:00 ~ 15:00,휴무일 일요일,세종특별자치시 다정중앙로 57 다정센타프라자 203호 (우)30124,10:00,20:00,14:00,15:00,10:00,20:00,14:00,15:00,10:00,20:00,14:00,15:00,10:00,20:00,14:00,15:00,10:00,20:00,14:00,15:00,10:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세미이비인후과의원,의원,이비인후과,044-715-7560,044-715-7560 대표번호,36.4980006,127.3119897,이비인후과,진료시간  월화목금 08:30 ~ 19:00  수 08:30 ~ 12:30  토 08:30 ~ 13:00  월화목금 휴게시간 12:30 ~ 14:00,휴무일 일요일,세종특별자치시 한누리대로 1824 조이프라자 3층 303호 (우)30146,8:30,19:00,12:30,14:00,8:30,19:00,12:30,14:00,8:30,12:30,정보 없음,정보 없음,8:30,19:00,12:30,14:00,8:30,19:00,12:30,14:00,8:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세움소아청소년과의원,의원,소아청소년과,044-862-6075,044-862-6075 대표번호,36.511737,127.2497282,소아청소년과,진료시간  월 ~ 금 09:00 ~ 19:00  토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 보듬3로 92 해파리움2상가 310호 (우)30100,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
