음식점명,운영시간,휴무일,주소,연락처,최종분류,분류,별점,리뷰수,시설,메뉴,월요일 영업 시작시간,월요일 영업 종료시간,월요일 라스트오더 시간,월요일 휴게 시작시간,월요일 휴게 종료시간,화요일 영업 시작시간,화요일 영업 종료시간,화요일 라스트오더 시간,화요일 휴게 시작시간,화요일 휴게 종료시간,수요일 영업 시작시간,수요일 영업 종료시간,수요일 라스트오더 시간,수요일 휴게 시작시간,수요일 휴게 종료시간,목요일 영업 시작시간,목요일 영업 종료시간,목요일 라스트오더 시간,목요일 휴게 시작시간,목요일 휴게 종료시간,금요일 영업 시작시간,금요일 영업 종료시간,금요일 라스트오더 시간,금요일 휴게 시작시간,금요일 휴게 종료시간,토요일 영업 시작시간,토요일 영업 종료시간,토요일 라스트오더 시간,토요일 휴게 시작시간,토요일 휴게 종료시간,일요일 영업 시작시간,일요일 영업 종료시간,일요일 라스트오더 시간,일요일 휴게 시작시간,일요일 휴게 종료시간,태그_예약_배달_포장,위도,경도,이미지파일명,상세페이지주소
일마지오 세종도서관점,영업시간 매일 08:30 ~ 17:30 매일 라스트오더 ~ 17:00,휴무일 정보 없음,세종특별자치시 다솜3로 48 국립세종도서관 4층 (우)30120,연락처 정보 없음,카페,카페,4.5,33,시설 정보 없음,"에스프레소(HOT): 2500
아메리카노: 3000
헛개보인다: 3500
카페라떼: 3500
카푸치노(HOT): 3500",8:30,17:30,17:00,정보 없음,정보 없음,8:30,17:30,17:00,정보 없음,정보 없음,8:30,17:30,17:00,정보 없음,정보 없음,8:30,17:30,17:00,정보 없음,정보 없음,8:30,17:30,17:00,정보 없음,정보 없음,8:30,17:30,17:00,정보 없음,정보 없음,8:30,17:30,17:00,정보 없음,정보 없음,정보 없음,36.4987184,127.2684489,126.일마지오 세종도서관점.jfif,https://place.map.kakao.com/1972604283
슬로우캘리 세종점,영업시간 매일 11:00 ~ 20:30 매일 휴게시간 15:00 ~ 17:00,공휴일 11:00 ~ 20:30,세종특별자치시 절재로 194 중앙타운 1층 107-1호 (우)30103,044-863-1861 대표번호,간식,양식,4.8,75,시설 정보 없음,"클래식 참치: 9700
스파이치 참치: 9700
솔트앤페퍼 참치: 9700
클래식 연어: 10700
스파이시 연어: 10700",11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,정보 없음,36.5082074,127.2624282,127.슬로우캘리 세종점.jfif,https://place.map.kakao.com/915457214
행정안전부대통령기록관 르콩카페,영업시간 월~금 10:00 ~ 15:00,휴무일 토일요일,세종특별자치시 다솜로 250 전시관 1층 구름다리 건너편 (우)30107,연락처 정보 없음,카페,카페,0,2,시설 정보 없음,"아메리카노: 2500
아이스 아메리카노: 2800
아이스 홍차라떼: 3200
아이스 카페모카: 3500
핫초코: 2900",10:00,15:00,정보 없음,정보 없음,정보 없음,10:00,15:00,정보 없음,정보 없음,정보 없음,10:00,15:00,정보 없음,정보 없음,정보 없음,10:00,15:00,정보 없음,정보 없음,정보 없음,10:00,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.5017482,127.273032,128.행정안전부대통령기록관 르콩카페.jfif,https://place.map.kakao.com/1517953573
피자스톰 세종점,영업시간 화~일 11:00 ~ 23:00 월 16:00 ~ 23:00,휴무일 정보 없음,세종특별자치시 다솜1로 21 한뜰마을4단지 상가 1층 125호 (우)30115,044-866-0926 대표번호,패스트푸드,피자스톰,5,3,시설 정보 없음,"스톰 사이드 콤보(R/XL): 19400
스톰 더블 세트(R/XL): 29800
아메리칸 치즈®: 15900
(New)스톰 콤비네이션®: 16900
(New)두둥! 바이킹쉬림프®: 23900",16:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4999987,127.2556425,129.피자스톰 세종점.jfif,https://place.map.kakao.com/1758448479
스텔라영 샌드위치&샐러드,영업시간 매일 08:30 ~ 21:00,공휴일 08:30 ~ 21:00,세종특별자치시 도움6로 42 세종정부청사 중앙동 민원동-2 1층 (우)30112,044-862-3022 대표번호,간식/카페,샌드위치,0,0,시설 정보 없음,"스텔라샌드위치: 5900
그랜베리닭가슴살: 7500
크래미와사비: 6900
데리야키닭가슴살: 6900
불고기샌드위치: 7500",8:30,21:00,정보 없음,정보 없음,정보 없음,8:30,21:00,정보 없음,정보 없음,정보 없음,8:30,21:00,정보 없음,정보 없음,정보 없음,8:30,21:00,정보 없음,정보 없음,정보 없음,8:30,21:00,정보 없음,정보 없음,정보 없음,8:30,21:00,정보 없음,정보 없음,정보 없음,8:30,21:00,정보 없음,정보 없음,정보 없음,정보 없음,36.5024234,127.2652451,130.스텔라영 샌드위치&샐러드.jfif,https://place.map.kakao.com/1347100315
짜글부대,영업시간 월~금 10:50 ~ 21:00 토 10:50 ~ 14:00 월~금 휴게시간 15:00 ~ 17:00,휴무일 일요일,세종특별자치시 가름로 232 (우)30121,연락처 정보 없음,한식,한식,5,41,시설 정보 없음,"짜글이(1인): 9000
부대전골(소): 18000
부대전골(중): 24000
돼지고기두루치기(중): 20000
차돌 우삼겹 두루치기(중): 23000",10:50,21:00,정보 없음,15:00,17:00,10:50,21:00,정보 없음,15:00,17:00,10:50,21:00,정보 없음,15:00,17:00,10:50,21:00,정보 없음,15:00,17:00,10:50,21:00,정보 없음,15:00,17:00,10:50,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4957982,127.2609374,131.짜글부대.jfif,https://place.map.kakao.com/1552445126
우동의진수,영업시간 월~토 11:30 ~ 20:00,휴무일 일요일,세종특별자치시 한누리대로 201 우빈가온 1층 116호 (우)30130,044-866-7214 대표번호,일식,돈까스우동,4.1,41,주차,"가쓰오 우동: 6500
꼬치어묵 우동: 6500
생 우동: 6000
냉모밀: 6500
생돈가츠: 7500",11:30,20:00,정보 없음,정보 없음,정보 없음,11:30,20:00,정보 없음,정보 없음,정보 없음,11:30,20:00,정보 없음,정보 없음,정보 없음,11:30,20:00,정보 없음,정보 없음,정보 없음,11:30,20:00,정보 없음,정보 없음,정보 없음,11:30,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4826108,127.2601343,132.우동의진수.png,https://place.map.kakao.com/783735595
새벽회 세종점,영업시간 월수~일 16:00 ~ 24:00,휴무일 화요일,세종특별자치시 한누리대로 321 1층 115호 (우)30123,044-866-7470 대표번호,일식,회,4.3,7,주차,"모듬회 택3 (소): 43000
물회 택1 (미니): 6000
나홀로 1인회 모듬 세트: 23000
해산물모듬 세트: 25000
광어/우럭/숭어/생연어 (소): 37000",16:00,0:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,예약가능 배달가능 포장가능,36.4929975,127.255815,133.새벽회 세종점.jfif,https://place.map.kakao.com/1819001176
예원,영업시간 월~금 11:30 ~ 21:30 주말 11:30 ~ 21:00 월~금 라스트오더 ~ 21:00 주말 라스트오더 ~ 20:30 월~금 휴게시간 15:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 한누리대로 194 더리치세종의아침 211호 (우)30129,044-864-9870 대표번호,중식,중국요리,3.8,111,WIFI 동물출입 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"자장면: 7000
해물짬뽕: 8500
예원탕면: 9000
예원볶음밥: 8000
예원특선냉채: 65000",11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:00,20:30,정보 없음,정보 없음,11:30,21:00,20:30,정보 없음,정보 없음,예약가능 배달불가 포장가능,36.4823224,127.2614113,134.예원.jfif,https://place.map.kakao.com/739941143
순한양꼬치,영업시간 매일 16:30 ~ 01:30,휴무일 첫째셋째 일요일,세종특별자치시 나성로 125-16 (우)30128,070-7543-0808 대표번호,중식,양꼬치,4.2,69,주차,"숙성양꼬치 (10개): 12000
오리지널양고치 (10개): 12000
양갈비살 (5개): 6000
훠궈: 35000
소천엽볶음: 18000",16:30,1:30,정보 없음,정보 없음,정보 없음,16:30,1:30,정보 없음,정보 없음,정보 없음,16:30,1:30,정보 없음,정보 없음,정보 없음,16:30,1:30,정보 없음,정보 없음,정보 없음,16:30,1:30,정보 없음,정보 없음,정보 없음,16:30,1:30,정보 없음,정보 없음,정보 없음,16:30,1:30,정보 없음,정보 없음,정보 없음,정보 없음,36.4900912,127.2577622,135.순한양꼬치.jfif,https://place.map.kakao.com/566590188
라쎄종,영업시간 월~토 11:30 ~ 21:30 월~토 휴게시간 15:30 ~ 17:30,휴무일 일요일,세종특별자치시 나성로 96 더센트럴 3층 313호 (우)30128,010-8541-0655 대표번호,양식,이탈리안,3.1,125,주차,"오리가슴살 스테이크: 24500
오리다리 콩피요리: 17000
1등급 한우 아랫등심 요리 (250g): 36500
카치오에 페페: 10500
까르보나라: 10500",11:30,21:30,정보 없음,15:30,17:30,11:30,21:30,정보 없음,15:30,17:30,11:30,21:30,정보 없음,15:30,17:30,11:30,21:30,정보 없음,15:30,17:30,11:30,21:30,정보 없음,15:30,17:30,11:30,21:30,정보 없음,15:30,17:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,"#안심식당 #델리숍 #소개팅 #코스요리 #프랑스가정식 #프랑스음식 #제로페이
예약가능 배달가능 포장가능",36.4868639,127.2602904,136.라쎄종.png,https://place.map.kakao.com/1838458013
항아리보쌈 나성점,영업시간 매일 11:00 ~ 23:00,휴무일 둘째넷째 일요일,세종특별자치시 나성북로 21 센트럴타워 115~117호 (우)30128,044-868-1114 대표번호,한식,족발보쌈,3.3,13,주차,"보쌈(소): 27000
회보쌈(중): 35000
굴보쌈(중): 35000
파전: 11000
쟁반국수: 12000",11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,#점심식사 #점심특선,36.4898147,127.258937,137.항아리보쌈 나성점.jfif,https://place.map.kakao.com/241728806
보배반점 세종나성점,영업시간 월~목 10:00 ~ 22:00 금~일 10:00 ~ 24:00 월~금 휴게시간 15:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 나성북1로 12 메가타워2 203204호 (우)30128,044-864-3777 대표번호,중식,보배반점,3.6,141,WIFI,"소고기 짬뽕(보통): 12000
통오징어 짬뽕(보통): 13000
통오징어 쟁반짜장(보통): 24000
짜장+탕수육(미니): 19000
짜장+짬뽕+탕수육(미니): 28000",10:00,22:00,정보 없음,15:00,17:00,10:00,22:00,정보 없음,15:00,17:00,10:00,22:00,정보 없음,15:00,17:00,10:00,22:00,정보 없음,15:00,17:00,10:00,0:00,정보 없음,15:00,17:00,10:00,0:00,정보 없음,정보 없음,정보 없음,10:00,0:00,정보 없음,정보 없음,정보 없음,"#혼밥 #카카오페이 #제로페이
예약가능 배달가능 포장가능",36.4909896,127.2576193,138.보배반점 세종나성점.jfif,https://place.map.kakao.com/174568124
신꾸미,영업시간 매일 17:00 ~ 02:00,휴무일 첫째셋째 일요일,세종특별자치시 나성북로 9 메가타워1 1층 101102호 (우)30128,044-866-8257 대표번호,한식,해물생선,5,59,시설 정보 없음,"신꾸미: 11000
삼겹꾸미: 12000
차돌꾸미: 13000
누룽지탕: 5000
계란찜: 5000",17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4896498,127.2578632,139.신꾸미.jfif,https://place.map.kakao.com/674612437
부엉이산장 세종점,영업시간 월~목일 17:00 ~ 02:00 금토 17:00 ~ 03:00,휴무일 정보 없음,세종특별자치시 나성로 125-16 스타타워 1층 108~110호 (우)30128,070-4333-1955 대표번호,한식/주점업,한식,0,125,WIFI,"곱도리탕(곱창): 29000
묵도리탕(묵은지): 27000
꽃도리탕(꽃게): 29000
닭도리탕: 24000
모듬전: 24000",17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,#곱도리탕 #닭도리탕 #막걸리 #술집 #전집,36.4900912,127.2577622,140.부엉이산장 세종점.jfif,https://place.map.kakao.com/876443915
단성무이 세종나성점,영업시간 월~목일 17:00 ~ 02:00 금토 17:00 ~ 03:00,공휴일 17:00 ~ 02:00,세종특별자치시 나성로 133-9 세종NS타워1 1층 111112호 (우)30128,044-866-0747 대표번호,한식/양식/일식/중식/주점업,호프요리주점,3.2,927,시설 정보 없음,"도넛샤브: 26000
구름샤브: 30500
마라샤브: 27000
유린기: 19500
크림새우: 17500",17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4905714,127.2581733,141.단성무이 세종나성점.png,https://place.map.kakao.com/649141806
굄,영업시간 월~목일 17:00 ~ 04:00 금토 17:00 ~ 05:00 월~목일 라스트오더 ~ 03:00 금토 라스트오더 ~ 04:00,휴무일 정보 없음,세종특별자치시 나성로 125-16 115호 (우)30128,연락처 정보 없음,중식/주점업,호프요리주점,5,70,주차시설 없음,"소고기야채찜+제철가리비찜: 29000
콩나물불고기: 22000
불맛삼겹숙주볶음: 22000
소고기 전골: 26000",17:00,4:00,3:00,정보 없음,정보 없음,17:00,4:00,3:00,정보 없음,정보 없음,17:00,4:00,3:00,정보 없음,정보 없음,17:00,4:00,3:00,정보 없음,정보 없음,17:00,5:00,4:00,정보 없음,정보 없음,17:00,5:00,4:00,정보 없음,정보 없음,17:00,4:00,3:00,정보 없음,정보 없음,정보 없음,36.4900912,127.2577622,142.굄.jfif,https://place.map.kakao.com/173719890
본삼겹살,영업시간 매일 16:00 ~ 23:00,휴무일 첫째셋째 일요일,세종특별자치시 나성로 125-16 2층 (우)30128,044-865-5591 대표번호,한식,삼겹살,5,13,시설 정보 없음,"목살세트 1: 39000
목살세트 2: 41000
삼겹세트 1: 54000
삼겹세트 2: 40000
삼겹세트 3: 56000",16:00,23:00,정보 없음,정보 없음,정보 없음,16:00,23:00,정보 없음,정보 없음,정보 없음,16:00,23:00,정보 없음,정보 없음,정보 없음,16:00,23:00,정보 없음,정보 없음,정보 없음,16:00,23:00,정보 없음,정보 없음,정보 없음,16:00,23:00,정보 없음,정보 없음,정보 없음,16:00,23:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4900912,127.2577622,143.본삼겹살.jfif,https://place.map.kakao.com/1122677147
엉터리해장국 나성점,영업시간 월~토 10:30 ~ 21:00 월~토 휴게시간 15:00 ~ 17:00,휴무일 일요일,세종특별자치시 한누리대로 165 세종메디피아 1층 110호 (우)30130,044-867-1599 대표번호,한식,해장국,1.5,11,시설 정보 없음,"뼈해장국: 10000
양평해장국: 9000
양평해장국(특): 10000
선지해장국: 8000
황태해장국: 8000",10:30,21:00,정보 없음,15:00,17:00,10:30,21:00,정보 없음,15:00,17:00,10:30,21:00,정보 없음,15:00,17:00,10:30,21:00,정보 없음,15:00,17:00,10:30,21:00,정보 없음,15:00,17:00,10:30,21:00,정보 없음,15:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,예약가능 배달가능 포장가능,36.4798954,127.2619433,144.엉터리해장국 나성점.jfif,https://place.map.kakao.com/2002933300
김호권의청년어부 세종나성새롬점,영업시간 매일 10:40 ~ 21:00 매일 라스트오더 ~ 20:50,휴무일 정보 없음,세종특별자치시 한누리대로 284 1층 101호 (우)30128,044-866-2277 대표번호,일식,초밥롤,4,5,WIFI 동물출입 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"청년 특 초밥(13p): 11900
고기스페셜초밥(12p): 12900
청년 패밀리 초밥(38p): 29900
키즈모듬초밥(11p)와사비 없음: 8900
청년 광연(11p): 15500",10:40,21:00,20:50,정보 없음,정보 없음,10:40,21:00,20:50,정보 없음,정보 없음,10:40,21:00,20:50,정보 없음,정보 없음,10:40,21:00,20:50,정보 없음,정보 없음,10:40,21:00,20:50,정보 없음,정보 없음,10:40,21:00,20:50,정보 없음,정보 없음,10:40,21:00,20:50,정보 없음,정보 없음,"#안심식당 #이동약자접근 #혼밥 #제로페이
예약불가 배달가능 포장가능",36.4895605,127.2571772,145.김호권의청년어부 세종나성새롬점.png,https://place.map.kakao.com/739439659
최고당돈가스 세종시점,영업시간 매일 10:00 ~ 21:30 매일 라스트오더 ~ 20:45,휴무일 정보 없음,세종특별자치시 한누리대로 193 참미르빌딩 1층 103호 (우)30130,044-862-1230 대표번호,일식,최고당돈가스,3.2,39,시설 정보 없음,"수제생등심돈가스: 7900
치즈돈가스: 9900
고구마치즈돈가스: 9900
로제돈가스 세트메뉴[면 선택1]: 15000
카레돈가스 세트메뉴[면 선택1]: 15000",10:00,21:30,20:45,정보 없음,정보 없음,10:00,21:30,20:45,정보 없음,정보 없음,10:00,21:30,20:45,정보 없음,정보 없음,10:00,21:30,20:45,정보 없음,정보 없음,10:00,21:30,20:45,정보 없음,정보 없음,10:00,21:30,20:45,정보 없음,정보 없음,10:00,21:30,20:45,정보 없음,정보 없음,#혼밥 #제로페이,36.4820636,127.2605158,146.최고당돈가스 세종시점.jfif,https://place.map.kakao.com/527132468
일월육일 세종나성점,영업시간 매일 18:00 ~ 02:00,공휴일 18:00 ~ 02:00,세종특별자치시 나성북1로 18 제이빌딩 2층 209호 (우)30128,0507-1449-0817 대표번호,일식/주점업,일본식주점,0,116,시설 정보 없음,"해산물한판: 46000
버터뿔소라+버터백가리비 세트: 10000
단새우+일월육일 우니 세트: 56000
빨간모츠나베(한우대창): 30000
오늘의 생선구이+미니새우장: 변동",18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4908825,127.2582446,147.일월육일 세종나성점.jfif,https://place.map.kakao.com/620839600
히츠지야 세종나성점,영업시간 화~일 05:00 ~ 01:00,공휴일 05:00 ~ 01:00,세종특별자치시 나성북로 21 센트럴타워 1층 111112호 (우)30128,070-8287-0009 대표번호,일식/주점업,일본식주점,3.3,90,시설 정보 없음,"타베호다이: 38000
5품코스(3인): 54000
홋카이도식 토마호크 양갈비: 18000
노미호다이드링크무제한(알콜+논알콜): 20000
램T본 스테이크: 18000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,5:00,1:00,정보 없음,정보 없음,정보 없음,5:00,1:00,정보 없음,정보 없음,정보 없음,5:00,1:00,정보 없음,정보 없음,정보 없음,5:00,1:00,정보 없음,정보 없음,정보 없음,5:00,1:00,정보 없음,정보 없음,정보 없음,5:00,1:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4898147,127.258937,148.히츠지야 세종나성점.jfif,https://place.map.kakao.com/1652277175
미카도스시 세종점,영업시간 매일 11:30 ~ 21:30 매일 라스트오더 ~ 21:00 매일 휴게시간 15:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 국세청로 45 나릿재마을3단지 상가동 A106~108호 (우)30128,044-998-0110 대표번호,일식,미카도스시,3.1,26,시설 정보 없음,"스페셜초밥(10P): 19000
오늘의 초밥(10P): 17000
모둠초밥(10P): 12000
간장새우 모둠초밥(10P): 15000
광어반+연어반 초밥: 15000",11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,11:30,21:30,21:00,15:00,17:00,#회전초밥,36.4889101,127.2624903,149.미카도스시 세종점.jfif,https://place.map.kakao.com/566966341
세종국수,영업시간 월~토 11:00 ~ 20:00,휴무일 일요일,세종특별자치시 한누리대로 201 우빈가온 1층 101102호 (우)30130,044-863-0369 대표번호,분식,국수,4.2,13,시설 정보 없음,"멸치국수: 7000
명태회비빔국수: 8500
제육비빔밥: 9000
김밥: 3500
참치김밥: 4500",11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4826108,127.2601343,150.세종국수.jfif,https://place.map.kakao.com/1455873777
파스타코타,영업시간 월~토 11:30 ~ 21:30 월~토 휴게시간 15:00 ~ 18:00,휴무일 일요일,세종특별자치시 한누리대로 194 (우)30129,연락처 정보 없음,양식,이탈리안,5,52,시설 정보 없음,"브라타카프레제: 16000
비프카르파치오: 18000
그린페스토파스타: 21000
크랩미트파스타: 19000
피스타치오크림뇨끼: 22000",11:30,21:30,정보 없음,15:00,18:00,11:30,21:30,정보 없음,15:00,18:00,11:30,21:30,정보 없음,15:00,18:00,11:30,21:30,정보 없음,15:00,18:00,11:30,21:30,정보 없음,15:00,18:00,11:30,21:30,정보 없음,15:00,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4824394,127.2664821,151.파스타코타.jfif,https://place.map.kakao.com/478486667
애플꼬마김밥 세종나성점,영업시간 화~금 10:00 ~ 19:30 주말 10:00 ~ 17:00 화~금 휴게시간 14:00 ~ 15:00,휴무일 월요일,세종특별자치시 나성북로 30 퍼스트원 1층 104호 (우)30128,044-863-8686 대표번호,분식,애플꼬마김밥,4.3,1,주차,"애플꼬마김밥 5줄: 3500
쫄면: 6000
국물떡볶이: 4500
짜장떡볶이: 5000
로제떡볶이: 8500",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,10:00,19:30,정보 없음,14:00,15:00,10:00,19:30,정보 없음,14:00,15:00,10:00,19:30,정보 없음,14:00,15:00,10:00,19:30,정보 없음,14:00,15:00,10:00,17:00,정보 없음,정보 없음,정보 없음,10:00,17:00,정보 없음,정보 없음,정보 없음,"#혼밥 #제로페이
예약가능",36.4901712,127.2594252,152.애플꼬마김밥 세종나성점.jfif,https://place.map.kakao.com/1058767799
하루엔소쿠 세종나성점,영업시간 화~일 11:00 ~ 21:00,휴무일 월요일,세종특별자치시 국세청로 32 마크원에비뉴 B210호 (우)30128,044-414-9773 대표번호,일식,하루엔소쿠,3.6,23,주차,"하루카츠: 11500
치즈카츠: 13000
특로스카츠: 12500
특히레카츠: 13500
김치카츠나베: 11500",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,#혼밥,36.4870298,127.2612036,153.하루엔소쿠 세종나성점.jfif,https://place.map.kakao.com/1635405673
사임당떡볶이 세종1점,영업시간 월~토 10:00 ~ 21:00 일 10:00 ~ 21:30,휴무일 정보 없음,세종특별자치시 한누리대로 201 우빈가온 1층 106호 (우)30130,044-868-4812 대표번호,분식,떡볶이,0,8,시설 정보 없음,"1인세트: 12500
2인세트: 22500
모듬튀김: 5800
떡볶이: 5500
순대: 5500",10:00,21:00,정보 없음,정보 없음,정보 없음,10:00,21:00,정보 없음,정보 없음,정보 없음,10:00,21:00,정보 없음,정보 없음,정보 없음,10:00,21:00,정보 없음,정보 없음,정보 없음,10:00,21:00,정보 없음,정보 없음,정보 없음,10:00,21:00,정보 없음,정보 없음,정보 없음,10:00,21:30,정보 없음,정보 없음,정보 없음,정보 없음,36.4826108,127.2601343,154.사임당떡볶이 세종1점.jfif,https://place.map.kakao.com/1778237204
카페여기,영업시간 매일 12:00 ~ 23:00 매일 라스트오더 ~ 22:45,휴무일 정보 없음,세종특별자치시 한누리대로 288 갤러리밸류시티 1층 112호 (우)30128,연락처 정보 없음,제과점/카페,카페,2.5,9,시설 정보 없음,"소금커피: 4800
소금라떼: 5000
콘파냐: 3500
아메리카노: 3000
카페라떼: 4000",12:00,23:00,22:45,정보 없음,정보 없음,12:00,23:00,22:45,정보 없음,정보 없음,12:00,23:00,22:45,정보 없음,정보 없음,12:00,23:00,22:45,정보 없음,정보 없음,12:00,23:00,22:45,정보 없음,정보 없음,12:00,23:00,22:45,정보 없음,정보 없음,12:00,23:00,22:45,정보 없음,정보 없음,정보 없음,36.4899283,127.2570906,155.카페여기.jfif,https://place.map.kakao.com/1443743983
봉쥬르프랑,영업시간 월~토 10:00 ~ 18:00 (품절시조기마감),휴무일 일요일,세종특별자치시 한누리대로 249 에스제이타워 107호 (우)30127,010-5437-6493 대표번호,제과점/카페,디저트카페,5,2,시설 정보 없음,"아메리카노: 2000
카페라떼: 3000
바닐라라떼: 3500
자몽 수제에이드: 4000
백향과 수제에이드: 4000",10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#제로페이,36.4845984,127.2584531,156.봉쥬르프랑.jfif,https://place.map.kakao.com/967680111
